Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	Terminal CT/ID	Terminal CT/label	Terminal CT/user_label	Markers
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000094	neutrophil	neutrophil	HGNC:2439, HGNC:2433, HGNC:3620, HGNC:1603, HGNC:3620
UBERON:0002341	epithelium of segmental bronchus	segmental bronchial epithelium	CL:0000158	club cell of bronchiole	club cell	HGNC:12523, HGNC:18391, HGNC:2632, HGNC:12523, HGNC:18391
UBERON:0002051	epithelium of bronchiole	epithelium of bronchiole	CL:0000158	club cell of bronchiole	club cell	HGNC:12523, HGNC:18391, HGNC:2632, HGNC:12523, HGNC:18391
UBERON:0001958	terminal bronchiole epithelium	terminal bronchiole epithelium	CL:0000158	club cell of bronchiole	club cell	HGNC:12523, HGNC:18391, HGNC:2632, HGNC:12523, HGNC:18391
UBERON:0001955	epithelium of respiratory bronchiole	epithelium of respiratory bronchiole	CL:0000158	club cell of bronchiole	club cell	HGNC:12523, HGNC:18391, HGNC:2632, HGNC:12523, HGNC:18391
UBERON:8410043	bronchus submucosal gland	bronchial submucosal gland	CL:0000185	myoepithelial cell	submucosal gland myoepithelium	HGNC:130, HGNC:7569, HGNC:6416, HGNC:15979, HGNC:6442, HGNC:130, HGNC:15979
UBERON:8410043	bronchial submucosal gland	bronchial submucosal gland	CL:0000185	myoepithelial cell	submucosal gland myoepithelium	HGNC:130, HGNC:15979, HGNC:6442, HGNC:6416, HGNC:130, HGNC:15979
UBERON:8410043	bronchial submucosal gland	bronchial submucosal gland	CL:0000185	myoepithelial cell	submucosal gland myoepithelium	HGNC:130, HGNC:7569, HGNC:6416, HGNC:15979, HGNC:6442, HGNC:130, HGNC:15979
UBERON:0008870	pulmonary alveolar parenchyma	pulmonary alveolar duct parenchyma	CL:0000186	secondary crest myofibroblasts	secondary crest myofibroblasts	HGNC:6715, HGNC:8804, HGNC:130, HGNC:14342, HGNC:130
UBERON:0004516	smooth muscle tissue of terminal bronchiole	smooth muscle tissue of terminal bronchiole	CL:0000192	airway smooth muscle cells	airway smooth muscle cells	HGNC:130, HGNC:11553, HGNC:2155, HGNC:19719, HGNC:130, HGNC:11553, HGNC:19719, HGNC:2155
UBERON:0004515	smooth muscle tissue of bronchiole	smooth muscle tissue of bronchiole	CL:0000192	airway smooth muscle cells	airway smooth muscle cells	HGNC:130, HGNC:11553, HGNC:2155, HGNC:19719, HGNC:130, HGNC:11553, HGNC:19719, HGNC:2155
UBERON:0004517	smooth muscle tissue of respiratory bronchiole	smooth muscle tissue of respiratory bronchiole	CL:0000192	airway smooth muscle cells	airway smooth muscle cells	HGNC:130, HGNC:11553, HGNC:2155, HGNC:19719, HGNC:130, HGNC:11553, HGNC:19719, HGNC:2155
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000236	B cell	B cell	HGNC:1698, HGNC:1643, HGNC:18233, HGNC:7315, HGNC:7315, HGNC:1633
UBERON:8410043	bronchus submucosal gland	bronchial submucosal gland	CL:0000313	serous cell of submucosal glands	submucosal gland serous cells	HGNC:8968, HGNC:6740, HGNC:6678, HGNC:6720, HGNC:6740, HGNC:6720
UBERON:8410043	bronchial submucosal gland	bronchial submucosal gland	CL:0000313	serous cell of submucosal glands	submucosal gland serous cells	HGNC:8968, HGNC:6740, HGNC:6678, HGNC:6720, HGNC:6740, HGNC:6720
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000484	connective tissue mast cell	connective tissue mast cell	HGNC:12019, HGNC:2298, HGNC:6342, HGNC:2097, HGNC:12019, HGNC:2298, HGNC:2097
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000485	mucosal type mast cell	tissue resident mucosal type mast cell	HGNC:12019, HGNC:2298, HGNC:6342, HGNC:12019, HGNC:2298, HGNC:6342
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000556	lung megakaryocyte	lung megakaryocyte	HGNC:6138, HGNC:6156, HGNC:6156, HGNC:6138
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000583	alveolar macrophage	alveolar macrophage	HGNC:7228, HGNC:6895, HGNC:1631, HGNC:6152, HGNC:3559, HGNC:1693, HGNC:9666
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000623	natural killer	natural killer	HGNC:7830, HGNC:6378, HGNC:11599, HGNC:3372, HGNC:6731, HGNC:7656
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000784	plasmacytoid dendritic cell	plasmacytoid dendritic cell	HGNC:6012, HGNC:4948, HGNC:13258, HGNC:8004, HGNC:4540
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000786	plasma cell	plasma cell	HGNC:10658, HGNC:1667
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000814	NK T cell	NK T cell	HGNC:7656, HGNC:1674, HGNC:7656
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000815	regulatory T cell	regulatory T cell	HGNC:6106, HGNC:2505, HGNC:11918, HGNC:19364, HGNC:23527, HGNC:6106, HGNC:2505, HGNC:11918
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000860	classical monocyte	classical monocyte	HGNC:1628, HGNC:10499, HGNC:2464, HGNC:1603, HGNC:3623
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000875	non-classical monocyte	non-classical monocyte	HGNC:13378, HGNC:2433, HGNC:14261
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000895	CD4+ T cell naive	CD4+ T cell naive	HGNC:1674, HGNC:1608, HGNC:6551, HGNC:1674, HGNC:1678
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000900	CD8+ T cell naive	CD8+ T cell naive	HGNC:1707, HGNC:1608, HGNC:7553, HGNC:17493, HGNC:1674, HGNC:1706, HGNC:1707
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000905	CD4+ T cell effector memory	CD4+ T cell effector memory	HGNC:1674, HGNC:1678, HGNC:1674, HGNC:1678
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000913	CD8+ T cell effector memory	CD8+ T cell effector memory	HGNC:1706, HGNC:1674, HGNC:1673, HGNC:1674, HGNC:1706, HGNC:1707
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000938	NK CD56bright	NK CD56bright	HGNC:24045, HGNC:10645, HGNC:10646, HGNC:7656, HGNC:7656
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0000940	mucosal invariant T cell	mucosal invariant T cell	HGNC:6373, HGNC:9360, HGNC:6380
UBERON:0008870	pulmonary alveolar parenchyma	pulmonary alveolar duct parenchyma	CL:0002062	type I pneumocyte	AT1	HGNC:320, HGNC:3334, HGNC:19364, HGNC:637, HGNC:1527, HGNC:320, HGNC:24961, HGNC:10724
UBERON:0008870	pulmonary alveolar parenchyma	pulmonary alveolar duct parenchyma	CL:0002063	type II pneumocyte	AT2	HGNC:10802, HGNC:33, HGNC:10799, HGNC:14582, HGNC:10802, HGNC:33
UBERON:0001901	epithelium of trachea	tracheal epithelium	CL:0002145	ciliated columnar cell of tracheobronchial tree	tracheobronchial ciliated cell	HGNC:3816, HGNC:15467, HGNC:20771, HGNC:12371, HGNC:3816, HGNC:26308, HGNC:34527
UBERON:0001901	epithelium of trachea	tracheal epithelium	CL:0002207	brush cell of trachea	tuft cell	HGNC:19864, HGNC:739, HGNC:14323, HGNC:2700, HGNC:19864, HGNC:2700, HGNC:14323
UBERON:0002339	epithelium of lobar bronchus	bronchial epithelium	CL:0002208	brush cell of bronchus	tuft cell	HGNC:19864, HGNC:739, HGNC:14323, HGNC:2700, HGNC:19864, HGNC:2700, HGNC:14323
UBERON:0002341	epithelium of segmental bronchus	segmental bronchial epithelium	CL:0002208	brush cell of bronchus	tuft cell	HGNC:19864, HGNC:739, HGNC:14323, HGNC:2700, HGNC:19864, HGNC:2700, HGNC:14323
UBERON:0002339	epithelium of lobar bronchus	lobar bronchial epithelium	CL:0002208	brush cell of bronchus	tuft cell	HGNC:19864, HGNC:739, HGNC:14323, HGNC:2700, HGNC:19864, HGNC:2700, HGNC:14323
UBERON:0002341	epithelium of segmental bronchus	segmental bronchial epithelium	CL:0002329	basal epithelial cell of tracheobronchial tree	basal cell	HGNC:15979, HGNC:6442, HGNC:7809, HGNC:15979, HGNC:6442, HGNC:7809, HGNC:12338
UBERON:0002339	epithelium of lobar bronchus	bronchial epithelium	CL:0002329	basal epithelial cell of tracheobronchial tree	basal cell	HGNC:15979, HGNC:6442, HGNC:7809, HGNC:15979, HGNC:6442, HGNC:7809, HGNC:12338
UBERON:0002339	epithelium of lobar bronchus	lobar bronchial epithelium	CL:0002329	basal epithelial cell of tracheobronchial tree	basal cell	HGNC:15979, HGNC:6442, HGNC:15979, HGNC:6442, HGNC:7809, HGNC:12338
UBERON:0002341	epithelium of segmental bronchus	segmental bronchial epithelium	CL:0002332	ciliated cell of the bronchus	ciliated cell of the bronchus	HGNC:3816, HGNC:12371, HGNC:15467, HGNC:20771, HGNC:3816, HGNC:26308, HGNC:34527
UBERON:0002339	epithelium of lobar bronchus	bronchial epithelium	CL:0002332	ciliated cell of the bronchus	ciliated bronchial cell	HGNC:3816, HGNC:12371, HGNC:15467, HGNC:20771, HGNC:2943, HGNC:3816, HGNC:26308, HGNC:34527
UBERON:0002339	epithelium of lobar bronchus	lobar bronchial epithelium	CL:0002332	ciliated cell of the bronchus	ciliated bronchial cell	HGNC:3816, HGNC:12371, HGNC:15467, HGNC:20771, HGNC:3816, HGNC:26308, HGNC:34527
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0002394	myeloid dendritic cell cDC1	cDC1 myeloid dendritic cell	HGNC:11784, HGNC:4948, HGNC:26705, HGNC:5951, HGNC:3765
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0002399	myeloid dendritic cell cDC2	cDC2 myeloid dendritic cell	HGNC:1636, HGNC:4948, HGNC:16916, HGNC:3618, HGNC:9662
UBERON:0004849	respiratory system venous endothelium	respiratory system venous endothelium	CL:0002543	vein endothelial cell	pulmonary venous endothelial cell	HGNC:7976, HGNC:4035, HGNC:30552, HGNC:12726, HGNC:16041, HGNC:4035
UBERON:0004849	respiratory system venous endothelium	respiratory system venous endothelium	CL:0002543	vein endothelial cell	venous endothelial cell	HGNC:3395, HGNC:7976, HGNC:4035, HGNC:12726, HGNC:16041, HGNC:4035
UBERON:0004849	respiratory system venous endothelium	respiratory system venous endothelium	CL:0002543	vein endothelial cell	pulmonary venous endothelial cell	HGNC:4035, HGNC:30552, HGNC:3395, HGNC:7976, HGNC:12726, HGNC:16041, HGNC:4035
UBERON:0004849	respiratory system venous endothelium	respiratory system venous endothelium	CL:0002543	vein endothelial cell	pulmonary venous endothelial cell	HGNC:3395, HGNC:7976, HGNC:4035, HGNC:12726, HGNC:16041, HGNC:4035
UBERON:0012416	respiratory system arterial smooth muscle	arterial system smooth muscle	CL:0002591	smooth muscle cell of pulmonary artery	pulmonary artery smooth muscle cell	HGNC:130, HGNC:2155, HGNC:8033, HGNC:7883, HGNC:130, HGNC:6143, HGNC:8033
UBERON:0036422	wall of pulmonary artery	wall of pulmonary artery	CL:0002591	smooth muscle cell of pulmonary artery	pulmonary artery smooth muscle cell	HGNC:130, HGNC:2155, HGNC:8033, HGNC:7883, HGNC:130, HGNC:6143, HGNC:8033
UBERON:0004242	bronchus smooth muscle	bronchial smooth muscle	CL:0002598	bronchial smooth muscle cell	bronchial smooth muscle cell	HGNC:130, HGNC:19719, HGNC:7569, HGNC:130, HGNC:11553, HGNC:19719
UBERON:0003529	respiratory system lymphatic vessel endothelium	respiratory system lymphatic vessel endothelium	CL:0009086	endothelial cell of respiratory system lymphatic vessel	lymphatic endothelial cell	HGNC:7178, HGNC:9459, HGNC:29602, HGNC:14687, HGNC:8005
UBERON:0008870	pulmonary alveolar parenchyma	pulmonary alveolar duct parenchyma	CL:0009089	lung pericyte	lung pericyte	HGNC:8804, HGNC:16232, HGNC:26213, HGNC:2466, HGNC:8804, HGNC:12338
UBERON:0002339	epithelium of lobar bronchus	lobar bronchial epithelium	CL:0017000	pulmonary ionocyte	pulmonary ionocyte	HGNC:740, HGNC:3815, HGNC:861, HGNC:1884, HGNC:1884
UBERON:0002339	epithelium of lobar bronchus	bronchial epithelium	CL:0017000	pulmonary ionocyte	pulmonary ionocyte	HGNC:740, HGNC:3815, HGNC:861, HGNC:1884, HGNC:1884
UBERON:0002341	epithelium of segmental bronchus	segmental bronchial epithelium	CL:0017000	pulmonary ionocyte	pulmonary ionocyte	HGNC:740, HGNC:3815, HGNC:861, HGNC:1884, HGNC:1884
UBERON:0001102	cartilage of main bronchus	cartilagenous plate	CL:0019002	tracheobronchial chondrocyte	chondrocyte	HGNC:2200, HGNC:2200, HGNC:11204
UBERON:0001102	cartilage of main bronchus	cartilagenous plate	CL:0019002	tracheobronchial chondrocyte	chondrocyte	HGNC:2200, HGNC:2200
UBERON:0003604	trachea cartilage	tracheal cartilage	CL:0019002	tracheobronchial chondrocyte	chondrocyte	HGNC:2200, HGNC:2200, HGNC:11204
UBERON:0002405	immune system	Immune System of Respiratory Tract	CL:0019015	lung parenchyma resident eosinophil	eosinophil	HGNC:3423, HGNC:10046
UBERON:0012418	respiratory system venous smooth muscle	venous system smooth muscle	CL:0019018	blood vessel smooth muscle cell	vascular smooth muscle	HGNC:8033, HGNC:7883, HGNC:4881, HGNC:130, HGNC:130, HGNC:6143, HGNC:8033
UBERON:0012416	respiratory system arterial smooth muscle	arterial system smooth muscle	CL:0019018	blood vessel smooth muscle cell	vascular smooth muscle	HGNC:8033, HGNC:7883, HGNC:4881, HGNC:130, HGNC:130, HGNC:6143, HGNC:8033
UBERON:0012418	respiratory system venous smooth muscle	venous system smooth muscle	CL:0019018	blood vessel smooth muscle cell	vascular smooth muscle cell	HGNC:130, HGNC:6143, HGNC:2155, HGNC:130, HGNC:6143
UBERON:0003387	smooth muscle of trachea	tracheal smooth muscle	CL:0019019	tracheobronchial smooth muscle cell	tracheobronchial smooth muscle cell	HGNC:130, HGNC:19719, HGNC:7569, HGNC:2770, HGNC:130, HGNC:11553, HGNC:19719
UBERON:0004884	lobar bronchus mesenchyme	bronchial mesenchyme	CL:0019019	tracheobronchial smooth muscle cell	tracheobronchial smooth muscle	HGNC:130, HGNC:11553, HGNC:2155, HGNC:19719, HGNC:130, HGNC:11553, HGNC:19719, HGNC:2155
UBERON:0002341	epithelium of segmental bronchus	segmental bronchial epithelium	CL:1000143	lung goblet cell	bronchial goblet cell	HGNC:7515, HGNC:17257, HGNC:7516, HGNC:11756, HGNC:328, HGNC:328, HGNC:7515, HGNC:16438, HGNC:8659
UBERON:0002339	epithelium of lobar bronchus	lobar bronchial epithelium	CL:1000143	lung goblet cell	bronchial goblet cell	HGNC:7515, HGNC:17257, HGNC:7516, HGNC:11756, HGNC:328, HGNC:328, HGNC:7515, HGNC:16438, HGNC:8659
UBERON:0002339	epithelium of lobar bronchus	bronchial epithelium	CL:1000143	lung goblet cell	bronchial goblet cell	HGNC:7515, HGNC:17257, HGNC:7516, HGNC:11756, HGNC:328, HGNC:328, HGNC:7515, HGNC:16438, HGNC:8659
UBERON:0002339	epithelium of lobar bronchus	bronchial epithelium	CL:1000223	lung neuroendocrine cell	neuroendocrine cell	HGNC:738, HGNC:4605, HGNC:1929, HGNC:1437, HGNC:1437, HGNC:4605, HGNC:1757, HGNC:8008
UBERON:0001901	epithelium of trachea	tracheal epithelium	CL:1000223	lung neuroendocrine cell	neuroendocrine cell	HGNC:738, HGNC:4605, HGNC:1437, HGNC:1929, HGNC:1437, HGNC:4605, HGNC:1757, HGNC:8008
UBERON:0002341	epithelium of segmental bronchus	segmental bronchial epithelium	CL:1000223	lung neuroendocrine cell	neuroendocrine cell	HGNC:738, HGNC:4605, HGNC:1929, HGNC:1437, HGNC:1437, HGNC:4605, HGNC:1757, HGNC:8008
UBERON:0002339	epithelium of lobar bronchus	lobar bronchial epithelium	CL:1000223	lung neuroendocrine cell	neuroendocrine cell	HGNC:738, HGNC:4605, HGNC:1929, HGNC:1437, HGNC:1437, HGNC:4605, HGNC:1757, HGNC:8008
UBERON:0001958	terminal bronchiole epithelium	terminal bronchiole epithelium	CL:1000271	lung ciliated cell	lung ciliated cell	HGNC:3816, HGNC:12371, HGNC:15467, HGNC:20771, HGNC:3816, HGNC:26308, HGNC:34527
UBERON:0002051	epithelium of bronchiole	epithelium of bronchiole	CL:1000271	lung ciliated cell	lung ciliated cell	HGNC:3816, HGNC:12371, HGNC:15467, HGNC:20771, HGNC:3816, HGNC:26308, HGNC:34527
UBERON:0001901	epithelium of trachea	tracheal epithelium	CL:1000329	goblet cell of epithelium of trachea	tracheal goblet cell	HGNC:7515, HGNC:17257, HGNC:7516, HGNC:11756, HGNC:328, HGNC:7515, HGNC:16438, HGNC:8659
UBERON:0001901	epithelium of trachea	tracheal epithelium	CL:1000348	basal cell of epithelium of trachea	basal cell	HGNC:15979, HGNC:6442, HGNC:7809, HGNC:15979, HGNC:6442, HGNC:7809, HGNC:12338
UBERON:0001958	terminal bronchiole epithelium	terminal bronchiole epithelium	CL:1000350	basal epithelial cell of terminal bronchiole	basal cell	HGNC:15979, HGNC:6442, HGNC:7809, HGNC:15979, HGNC:6442, HGNC:7809, HGNC:12338
UBERON:0001955	epithelium of respiratory bronchiole	epithelium of respiratory bronchiole	CL:1000351	basal cell of epithelium of respiratory bronchiole	basal cell	HGNC:15979, HGNC:6442, HGNC:7809, HGNC:15979, HGNC:6442, HGNC:7809, HGNC:12338
UBERON:0002051	epithelium of bronchiole	epithelium of bronchiole	CL:1000352	basal epithelial cell of lobular bronchiole	basal cell	HGNC:15979, HGNC:6442, HGNC:7809, HGNC:15979, HGNC:6442, HGNC:7809, HGNC:12338
UBERON:0004848	respiratory system arterial endothelium	respiratory system arterial endothelium	CL:1000413	arterial endothelial cell	arterial endothelial cell	HGNC:3227, HGNC:4279, HGNC:1079, HGNC:2892, HGNC:12726, HGNC:3227
UBERON:0002401	visceral pleura	visceral pleura	CL:1000493	mesothelial cell of visceral pleura	mesothelial cell	HGNC:12796, HGNC:3687, HGNC:7371, HGNC:21444, HGNC:12796
UBERON:0001958	terminal bronchiole epithelium	terminal bronchiole epithelium	CL:1001566	bronchioalveolar stem cell	bronchioalveolar stem cell	HGNC:10802, HGNC:12523, HGNC:10802, HGNC:12523
UBERON:0004848	respiratory system arterial endothelium	respiratory system arterial endothelium	CL:1001568	pulmonary artery endothelial cell	pulmonary artery endothelial cell	HGNC:2892, HGNC:4279, HGNC:3227, HGNC:10672, HGNC:7884, HGNC:12726, HGNC:3227
UBERON:0036422	wall of pulmonary artery	wall of pulmonary artery	CL:1001568	pulmonary artery endothelial cell	pulmonary artery endothelial cell	HGNC:2892, HGNC:4279, HGNC:3227, HGNC:10672, HGNC:7884, HGNC:12726, HGNC:3227
UBERON:0008870	pulmonary alveolar parenchyma	pulmonary alveolar duct parenchyma	CL:4028002	capillary endothelial cell 1	CAP1 general capillary aCap	HGNC:30288, HGNC:6024, HGNC:339, HGNC:13635, HGNC:24945, HGNC:6024, HGNC:339
UBERON:0008870	pulmonary alveolar parenchyma	pulmonary alveolar duct parenchyma	CL:4028003	capillary endothelial cell 2	CAP2 aerocyte capillary gCap	HGNC:3180, HGNC:16665, HGNC:1375, HGNC:3180, HGNC:16665, HGNC:1375
UBERON:0008870	pulmonary alveolar parenchyma	pulmonary alveolar duct parenchyma	CL:4028004	alveolar type 1 fibroblast	alveolar type 1 fibroblast	HGNC:12780, HGNC:11632, HGNC:14674, HGNC:248
UBERON:0008870	pulmonary alveolar parenchyma	pulmonary alveolar duct parenchyma	CL:4028006	alveolar type 2 fibroblast	alveolar type 2 fibroblast	HGNC:29673, HGNC:28701, HGNC:17104
