Partonomy (some are 17 levels deep, provide RDFS LABEL, Uberon ID)															Typology (1 level CL for NCB)			Gene Biomarkers (many, HGNC IDs)													Protein Biomarkers (many, need HGNC IDs)									FTU (1 if FTU or blank)	References for AS, CT, and B but also for AS-CT and CT-B Links																			
AS/1	AS/1/LABEL	AS/1/ID	AS/2	AS/2/LABEL	AS/2/ID	AS/3	AS/3/LABEL	AS/3/ID	AS/4	AS/4/LABEL	AS/4/ID	AS/5	AS/5/LABEL	AS/5/ID	CT/1	CT/1/LABEL	CT/1/ID	BG/1	BG/1/LABEL	BG/1/ID	BG/2	BG/2/LABEL	BG/2/ID	BG/3	BG/3/LABEL	BG/3/ID	BG/4	BG/4/LABEL	BG/4/ID	protein biomarkers combined column	BP/1	BP/1/LABEL	BP/1/ID	BP/2	BP/2/LABEL	BP/2/ID	BP/3	BP/3/LABEL	BP/3/ID	FTU	REF/1	REF/1/DOI	REF/1/NOTES	REF/2	REF/2/DOI	REF/2/NOTES														
thoracic thymus	thymus	UBERON:0002370	capsule of thymus	capsule of thymus	UBERON:0002370	thymus trabecula	thymus trabecula	UBERON:0004791							fibroblast	fibroblast		PDGFRA			FBN1			FGF7							PDPN																													
thoracic thymus	thymus	UBERON:0002370	capsule of thymus	capsule of thymus	UBERON:0002370	thymus trabecula	thymus trabecula	UBERON:0004791	afferent lymphatic vessel	afferent lymphatic vessel					lymphatic endothelial cell	lymphatic endothelial cell		CDH5			LYVE1										LYVE1																													
thoracic thymus	thymus	UBERON:0002370	capsule of thymus	capsule of thymus	UBERON:0002370	thymus trabecula	thymus trabecula	UBERON:0004791	blood vessel	blood vessel					vascular endothelial cell	vascular endothelial cell		CD34			VWF			VIM			KLF4				CD31			CD31																										
thoracic thymus	thymus	UBERON:0002370	capsule of thymus	capsule of thymus	UBERON:0002370	thymus trabecula	thymus trabecula	UBERON:0004791	adipose tissue	adipose tissue					fat cells	fat cells		FABP4																																										
thoracic thymus	thymus	UBERON:0002370	capsule of thymus	capsule of thymus	UBERON:0002370	thymus trabecula	thymus trabecula	UBERON:0004791	nerve (vagal afferent)	nerve (vagal afferent)					nerve bodies	nerve bodies		TH													TH			TH																										
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus epithelium	thymus epithelium	UBERON:0003846	thymus subcapsular epithelium	thymus subcapsular epithelium	UBERON:0006936	subcapsular epithelial cell (type 1)	subcapsular epithelial cell (type 1)		EPCAM													EPCAM			cytokeratin																										
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	DN1 thymic pro-T cell (thymocyte)	DN1 thymic pro-T cell (thymocyte)	CL:0000894	PTCRA													CD34			CD44							https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224		Lavaert M, Liang KL, Vandamme N, Park JE, Roels J, Kowalczyk MS, Li B, Ashenberg O, Tabaka M, Dionne D, Tickle TL, Slyper M, Rozenblatt-Rosen O, Vandekerckhove B, Leclercq G, Regev A, Van Vlierberghe P, Guilliams M, Teichmann SA, Saeys Y, Taghon T. Integrated scRNA-Seq Identifies Human Postnatal Thymus Seeding Progenitors and Regulatory Dynamics of Differentiating Immature Thymocytes. Immunity. 2020 Jun 16;52(6):1088-1104.e6. doi: 10.1016/j.immuni.2020.03.019. Epub 2020 Apr 17. PMID: 32304633.	10.1016/j.immuni.2020.03.019	gene ref														
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	DN2 thymocyte	DN2 thymocyte	CL:0000806	PTCRA												CD34, CD38, CD44, CD25	CD34, CD38, CD44, CD25			CD34, CD38, CD44, CD25							https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224		Lavaert M, Liang KL, Vandamme N, Park JE, Roels J, Kowalczyk MS, Li B, Ashenberg O, Tabaka M, Dionne D, Tickle TL, Slyper M, Rozenblatt-Rosen O, Vandekerckhove B, Leclercq G, Regev A, Van Vlierberghe P, Guilliams M, Teichmann SA, Saeys Y, Taghon T. Integrated scRNA-Seq Identifies Human Postnatal Thymus Seeding Progenitors and Regulatory Dynamics of Differentiating Immature Thymocytes. Immunity. 2020 Jun 16;52(6):1088-1104.e6. doi: 10.1016/j.immuni.2020.03.019. Epub 2020 Apr 17. PMID: 32304633.	10.1016/j.immuni.2020.03.019	gene ref														
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	DN2a thymocyte	DN2a thymocyte	CL:0002423																								https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224																		
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	DN2b thymocyte	DN2b thymocyte	CL:0002424																								https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224																		
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	DN3 thymocyte	DN3 thymocyte	CL:0000807													CD34, CD38, CD1a	CD34, CD38, CD1a			CD34, CD38, CD1a							https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224		Lavaert M, Liang KL, Vandamme N, Park JE, Roels J, Kowalczyk MS, Li B, Ashenberg O, Tabaka M, Dionne D, Tickle TL, Slyper M, Rozenblatt-Rosen O, Vandekerckhove B, Leclercq G, Regev A, Van Vlierberghe P, Guilliams M, Teichmann SA, Saeys Y, Taghon T. Integrated scRNA-Seq Identifies Human Postnatal Thymus Seeding Progenitors and Regulatory Dynamics of Differentiating Immature Thymocytes. Immunity. 2020 Jun 16;52(6):1088-1104.e6. doi: 10.1016/j.immuni.2020.03.019. Epub 2020 Apr 17. PMID: 32304633.	10.1016/j.immuni.2020.03.019	gene ref														
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	DN4 thymocyte	DN4 thymocyte	CL:0000808													CD1a	CD1a										https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224		Lavaert M, Liang KL, Vandamme N, Park JE, Roels J, Kowalczyk MS, Li B, Ashenberg O, Tabaka M, Dionne D, Tickle TL, Slyper M, Rozenblatt-Rosen O, Vandekerckhove B, Leclercq G, Regev A, Van Vlierberghe P, Guilliams M, Teichmann SA, Saeys Y, Taghon T. Integrated scRNA-Seq Identifies Human Postnatal Thymus Seeding Progenitors and Regulatory Dynamics of Differentiating Immature Thymocytes. Immunity. 2020 Jun 16;52(6):1088-1104.e6. doi: 10.1016/j.immuni.2020.03.019. Epub 2020 Apr 17. PMID: 32304633.	10.1016/j.immuni.2020.03.019	gene ref														
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	thymic cortical macrophage	thymic cortical macrophage	CL:0000883	CD68			LYZ									CD68, CD11c, CD169, CD209	CD68, CD11c, CD169, CD209			CD68, CD11c, CD169, CD209																										
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	CD25-positive, CD27-positive immature gamma-delta T cell	CD25-positive, CD27-positive immature gamma-delta T cell	CL:0002126	TRGC			CD27									CD27	CD27			CD25 TCRgd							van de Wijngaert, F.P., Kendall, M.D., Schuurman, HJ. et al. Heterogeneity of epithelial cells in the human thymus. Cell Tissue Res. 237, 227–237 (1984).	https://doi.org/10.1007/BF00217140		https://www.frontiersin.org/articles/10.3389/fimmu.2020.00042/full	/10.3389/fimmu.2020.00042															
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus epithelium	thymus epithelium	UBERON:0003846	cortex of thymus	cortex	UBERON:0002123	cortical thymic epithelial cell	cortical thymic epithelial cell	CL:0002364	EPCAM			PSMB11																																							
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	double negative thymocyte	double negative thymocyte	CL:0002489																								https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224																		
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	mature T cell	mature T cell		CD45RA			CCR7			SELL			TRAC			CD3, CD4, TCRab, CD27, CD62L	CD3, CD4, TCRab, CD27, CD62L			CD3, CD4, TCRab, CD27, CD62L							https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224																		
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	thymic seeding progenitor	thymic seeding progenitor																									https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224																		
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	early thymic progenitor	early thymic progenitor		HOXA9			CD7			CD127						CD34, CD38, CD7, CCR9, CD44, c-Kit, CD127	CD34, CD38, CD7, CCR9, CD44, c-Kit, CD127			CD34, CD38, CD7, CCR9, CD44, c-Kit, CD127							https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1073/pnas.95.5.2486			10.1016/j.celrep.2018.06.007															
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	double positive T cell precursor	double positive T cell precursor																									https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224																		
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	corticomedullary boundary of thymus	corticomedullary boundary	UBERON:0002125	double-positive, alpha-beta thymocyte	double-positive, alpha-beta thymocyte	CL:0000809	CCR7			CD8A			RORC			CD4			CD3, CD4, CD8	CD3, CD4, CD8			CD3, CD4, CD8							https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224																		
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	corticomedullary boundary of thymus	corticomedullary boundary	UBERON:0002125	CD69-positive double-positive thymocyte	CD69-positive double-positive thymocyte	CL:0002429	CCR7			CD8A			CD4			CD69			CD3, CD4, CD8, CD69	CD3, CD4, CD8, CD69			CD3, CD4, CD8, CD69							https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224																		
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	corticomedullary boundary of thymus	corticomedullary boundary	UBERON:0002125	double positive blast	double positive blast		RAG1			RAG2			TDT																	https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224																		
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	corticomedullary boundary of thymus	corticomedullary boundary	UBERON:0002125	thymic B cell	thymic B cell		CD79A			MS4A1									CD20, CD21, HLADR	CD20, CD21, HLADR			CD20, CD21, HLADR								10.1007/s00018-015-1895-1																		
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus epithelium	thymus epithelium	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	CD4-positive, alpha-beta thymocyte	CD4-positive, alpha-beta thymocyte	CL:0000810													CD3 CD4 TCRab  CD45RA	CD3 CD4 TCRab  CD45RA			CD3 CD4 TCRab  CD45RA																										
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	CD8-positive, alpha-beta thymocyte	CD8-positive, alpha-beta thymocyte	CL:0000811													CD3 CD8 TCRab  CD45RA	CD3 CD8 TCRab  CD45RA			CD3 CD8 TCRab  CD45RA																										
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	thymic medullary macrophage	thymic medullary macrophage	CL:0000882	CD68			LYZ			CD68			LYZ			CD68, CD11c, CD169, CD209	CD68, CD11c, CD169, CD209			CD68, CD11c, CD169, CD209							https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224																		
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003846	medulla of thymus	medulla	UBERON:0002124	medullary thymic epithelial cell	medullary thymic epithelial cell	CL:0002365	AIRE			EPCAM			CCL19			KRT14			EPCAM	EPCAM			EPCAM																										
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	gamma-delta thymocyte	gamma-delta thymocyte	CL:0002405	TRDC																																										
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	CD24-positive, CD4 single-positive thymocyte	CD24-positive, CD4 single-positive thymocyte	CL:0002432																																											
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	CD69-positive, CD4-positive single-positive thymocyte	CD69-positive, CD4-positive single-positive thymocyte	CL:0002433																																											
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	CD24-positive, CD8 single-positive thymocyte	CD24-positive, CD8 single-positive thymocyte	CL:0002434																																											
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	CD69-positive, CD8-positive single-positive thymocyte	CD69-positive, CD8-positive single-positive thymocyte	CL:0002435																																											
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus epithelium	thymus epithelium	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	myoid cell																																													
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	plasmacytoid dendritic cell	plasmacytoid dendritic cell																																												
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	regulatory T cell	regulatory T cell																																												
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	thymic conventional dendritic cell	thymic conventional dendritic cell	CL:0000941																																											
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	CD8alpha-positive thymic conventional dendritic cell	CD8alpha-positive thymic conventional dendritic cell	CL:0002059																																											
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	regulatory T cell	regulatory T cell																																												
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	naïve CD8 T cell	naïve CD8 T cell																																												
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	naïve CD4 T cell	naïve CD4 T cell																																												
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	memory CD4 T cell	memory CD4 T cell																																												
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	memory CD8 T cell	memory CD8 T cell																																												
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	innate lymphoid cell type 3	innate lymphoid cell type 3																																												
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	NK cells	NK cells		https://ashpublications.org/blood/article/120/21/1053/89306/NK-Cell-Subsets-Isolated-From-Human-Thymus-Differ																																										
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	NKT cells	NKT cells																																												
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	medulla of thymus	medulla	UBERON:0002124	innate lymphoid cell	innate lymphoid cell																																												
